latitude,longitude,event_date,soil_wetness_gwet_top,soil_moisture_source
25.315176,91.923021,2007-07-19,0.97,NASA_POWER_MERRA2
25.31848,91.45262,2007-07-19,0.96,NASA_POWER_MERRA2
25.320833,91.9275,2007-07-19,0.97,NASA_POWER_MERRA2
25.37539167,92.431275,2024-05-28,0.97,NASA_POWER_MERRA2
25.38803,91.46977,2007-06-16,0.96,NASA_POWER_MERRA2
25.40023,91.5159,2007-06-16,0.96,NASA_POWER_MERRA2
25.4013,91.45855,2007-08-18,0.94,NASA_POWER_MERRA2
25.40547,91.53712,2007-08-18,0.94,NASA_POWER_MERRA2
25.407917,91.998889,2007-08-18,0.95,NASA_POWER_MERRA2
25.425,91.405,2007-08-18,0.94,NASA_POWER_MERRA2
25.43561,91.862056,2009-07-17,0.9,NASA_POWER_MERRA2
25.44465,91.34622,2007-07-17,0.92,NASA_POWER_MERRA2
25.50335,91.28335,2007-07-25,0.97,NASA_POWER_MERRA2
25.50368056,91.72342222,2007-07-19,0.97,NASA_POWER_MERRA2
25.50667,91.28318,2007-07-19,0.96,NASA_POWER_MERRA2
25.51973,91.28443,2007-07-25,0.97,NASA_POWER_MERRA2
25.5208,91.25985,2007-07-25,0.97,NASA_POWER_MERRA2
25.54231,92.1,2009-07-01,0.92,NASA_POWER_MERRA2
25.54261,92.10867,2009-07-01,0.92,NASA_POWER_MERRA2
25.54261,92.09842,2009-07-01,0.92,NASA_POWER_MERRA2
25.54264,92.10214,2009-07-01,0.92,NASA_POWER_MERRA2
25.54328,92.10478,2009-07-01,0.92,NASA_POWER_MERRA2
25.56667,91.90194,2007-09-08,1.0,NASA_POWER_MERRA2
25.57822,91.86545,2014-09-23,0.99,NASA_POWER_MERRA2
25.663444,91.915944,2017-06-17,0.99,NASA_POWER_MERRA2
25.68625,91.118358,2007-09-15,0.97,NASA_POWER_MERRA2
25.687056,91.6485,2007-09-15,0.98,NASA_POWER_MERRA2
25.69483,91.11836,2007-09-15,0.97,NASA_POWER_MERRA2
25.95847,91.85406,2014-09-23,0.97,NASA_POWER_MERRA2
26.00294,91.86692,2014-09-23,0.97,NASA_POWER_MERRA2
26.02547,91.87158,2014-09-20,0.88,NASA_POWER_MERRA2
25.47704743,92.16831285,2020-05-25,0.99,NASA_POWER_MERRA2
25.46307925,92.25426106,2020-05-26,0.95,NASA_POWER_MERRA2
25.5667327,91.9146185,2024-10-04,0.99,NASA_POWER_MERRA2
25.28422636,92.11294194,2020-06-26,1.0,NASA_POWER_MERRA2
25.2842285,92.11314877,2020-05-26,0.99,NASA_POWER_MERRA2
25.29967,91.46108,2024-06-15,0.98,NASA_POWER_MERRA2
25.29667,91.45986,2024-06-17,1.0,NASA_POWER_MERRA2
25.2975,91.46167,2024-06-17,1.0,NASA_POWER_MERRA2
25.29739,91.46201,2024-06-17,1.0,NASA_POWER_MERRA2
25.29778,91.45972,2024-06-15,0.98,NASA_POWER_MERRA2
25.809088,91.875238,2025-07-06,0.87,NASA_POWER_MERRA2
25.781246,91.874475,2024-07-06,0.93,NASA_POWER_MERRA2
25.465167,91.824944,2025-05-30,0.99,NASA_POWER_MERRA2
25.422278,91.867694,2025-05-30,0.99,NASA_POWER_MERRA2
25.43480556,91.85952778,2025-05-30,0.99,NASA_POWER_MERRA2
25.48716667,91.81936111,2025-05-30,0.99,NASA_POWER_MERRA2
25.456896,91.826145,2025-05-30,0.99,NASA_POWER_MERRA2
25.355042,91.767525,2025-05-31,0.99,NASA_POWER_MERRA2
25.340415,91.774142,2025-05-31,0.99,NASA_POWER_MERRA2
25.67469444,91.88652778,2011-06-26,0.92,NASA_POWER_MERRA2
25.563,91.885,2019-07-09,1.0,NASA_POWER_MERRA2
25.281,91.57330556,2019-07-07,0.98,NASA_POWER_MERRA2
25.23211111,91.37252778,2019-06-27,0.99,NASA_POWER_MERRA2
25.22194444,91.38422222,2019-06-27,0.99,NASA_POWER_MERRA2
25.18766667,91.39816667,2019-06-27,0.99,NASA_POWER_MERRA2
25.18688889,91.39855556,2019-06-27,0.99,NASA_POWER_MERRA2
25.44233333,92.19447222,2020-05-26,0.95,NASA_POWER_MERRA2
25.44177778,92.19558333,2020-05-26,0.95,NASA_POWER_MERRA2
25.43630556,92.19525,2020-05-26,0.95,NASA_POWER_MERRA2
25.43505556,92.19836111,2020-05-26,0.95,NASA_POWER_MERRA2
25.44741667,92.20138889,2020-05-26,0.95,NASA_POWER_MERRA2
25.45075,92.19452778,2020-05-26,0.95,NASA_POWER_MERRA2
25.45351667,92.18784722,2020-05-26,0.95,NASA_POWER_MERRA2
25.36103333,91.64700833,2022-06-17,1.0,NASA_POWER_MERRA2
25.21273889,90.63216111,2022-06-17,0.98,NASA_POWER_MERRA2
25.21022222,90.63220278,2022-06-17,0.98,NASA_POWER_MERRA2
