latitude,longitude,event_date,rainfall_mm_day,elevation_m,slope_degrees,soil_wetness_gwet_top,soil_moisture_source,nearest_landslide_distance_km,nearest_landslide_latitude,nearest_landslide_longitude
25.638804,90.116149,2024-07-02,13.835000038146973,271.0,0.7548944975654582,0.97,NASA_POWER_MERRA2,29.139432399108646,25.38163333,90.06033889
27.264254,92.09915,2024-05-29,1.309999942779541,3093.0,21.86985930890943,0.77,NASA_POWER_MERRA2,41.22970308364374,27.591389,91.9025
27.164915,94.216009,2023-07-28,34.66499710083008,86.0,0.7548944975654582,0.92,NASA_POWER_MERRA2,39.21846160960929,27.105253,93.825399
27.462709,92.421925,2022-09-30,0.3649999797344208,2488.0,23.27722924683804,0.8,NASA_POWER_MERRA2,53.17996911354399,27.591389,91.9025
28.638706,95.157057,2022-05-15,6.474999904632568,1866.0,36.24060117677678,0.89,NASA_POWER_MERRA2,112.36237919696724,27.715081,94.692035
24.5723,93.529338,2025-06-15,30.34499740600586,1178.0,31.792282570357223,0.83,NASA_POWER_MERRA2,6.433765433907812,24.51785556,93.55086944
28.11538,97.170783,2024-05-28,23.069997787475582,4379.0,36.724085806570734,0.8,NASA_POWER_MERRA2,247.5822336474249,27.715081,94.692035
23.19849,92.882414,2024-08-13,0.0,546.0,14.310239191234691,0.92,NASA_POWER_MERRA2,1.7534990471823777,23.198119,92.899566
28.331528,94.815007,2023-09-12,0.8400000333786011,822.0,22.66252450573944,0.84,NASA_POWER_MERRA2,69.60054730356339,27.715081,94.692035
26.361025,90.29661,2024-05-28,62.09999847412109,53.0,2.433138796850444,0.7,NASA_POWER_MERRA2,106.50047104948933,25.872268,91.213965
25.628396,94.306306,2024-05-28,88.49498748779297,2204.0,20.064389997069007,0.92,NASA_POWER_MERRA2,18.04433815277213,25.6125,94.1272
25.345325,91.418912,2009-07-01,154.85501098632812,1490.0,10.663120448541864,0.88,NASA_POWER_MERRA2,4.515231216156399,25.31848,91.45262
25.909065,94.280363,2024-07-02,10.119998931884766,829.0,12.81007731882675,0.94,NASA_POWER_MERRA2,9.516777222434087,25.8816564,94.1902346
24.458634,92.241221,2024-06-01,0.6949999928474426,25.0,1.817522018719848,0.9,NASA_POWER_MERRA2,27.96540695164936,24.70619444,92.28997222
