latitude,longitude,event_date,rainfall_mm_day,rainfall_source
28.628646,95.443174,2008-06-19,12.144999504089355,IMERG_Final_V07
28.248015,95.271603,2018-05-18,3.2200002670288086,IMERG_Final_V07
27.981736,93.74129,2022-11-14,0.0,IMERG_Final_V07
25.757751,92.024695,2024-07-02,8.550000190734863,IMERG_Final_V07
26.49368,93.51559,2024-06-02,12.48499870300293,IMERG_Final_V07
23.919154,91.499889,2010-06-20,10.19999885559082,IMERG_Final_V07
25.922898,92.895056,2024-05-28,57.345001220703125,IMERG_Final_V07
26.521845,94.614608,2024-10-07,1.1150000095367432,IMERG_Final_V07
27.686591,92.614633,2025-05-31,3.880000114440918,IMERG_Final_V07
24.028671,93.756315,2014-07-01,6.329999923706055,IMERG_Final_V07
25.787048,94.312207,2025-05-31,27.34000015258789,IMERG_Final_V07
28.658629,94.000792,2024-05-28,7.554999351501465,IMERG_Final_V07
24.028236,93.803522,2024-05-28,66.56500244140625,IMERG_Final_V07
26.542344,94.009885,2020-05-24,1.0249998569488525,IMERG_Final_V07
27.596747,95.056582,2024-05-28,39.11499786376953,IMERG_Final_V07
26.286315,91.534725,2024-05-28,18.829998016357422,IMERG_Final_V07
22.909111,93.072425,2018-06-14,9.059999465942383,IMERG_Final_V07
27.17636,94.701067,2025-06-01,3.6649997234344482,IMERG_Final_V07
28.785426,95.955957,2024-09-28,1.9599997997283936,IMERG_Final_V07
26.938325,92.322014,2024-05-28,16.94000244140625,IMERG_Final_V07
27.723237,95.935407,2025-05-31,22.2549991607666,IMERG_Final_V07
26.426151,94.705846,2019-07-10,35.66999435424805,IMERG_Final_V07
26.656335,91.108782,2025-06-01,70.09500885009766,IMERG_Final_V07
28.027873,95.676015,2024-05-28,23.715002059936523,IMERG_Final_V07
26.397696,93.984482,2024-09-28,3.8350000381469727,IMERG_Final_V07
26.604114,93.925524,2025-06-02,14.309999465942383,IMERG_Final_V07
27.346167,88.613248,2024-07-02,12.559999465942383,IMERG_Final_V07
26.165689,91.319403,2024-05-28,16.760000228881836,IMERG_Final_V07
27.825099,94.131145,2025-06-01,4.235000133514404,IMERG_Final_V07
27.382464,88.046422,2024-05-28,0.10500000417232513,IMERG_Final_V07
25.123555,92.289667,2025-06-01,46.90500259399414,IMERG_Final_V07
26.712676,92.738909,2025-05-31,14.844998359680176,IMERG_Final_V07
24.362162,94.141581,2024-05-28,94.2649917602539,IMERG_Final_V07
26.525261,91.769873,2025-06-01,70.91500091552734,IMERG_Final_V07
28.695073,95.907312,2024-08-17,8.08499813079834,IMERG_Final_V07
25.869216,91.228276,2024-05-29,45.909996032714844,IMERG_Final_V07
25.108235,92.651802,2016-05-22,1.2699999809265137,IMERG_Final_V07
25.217171,92.670754,2009-07-01,24.569995880126953,IMERG_Final_V07
27.908654,95.910183,2024-07-02,4.34499979019165,IMERG_Final_V07
24.301313,92.952114,2025-09-13,41.21500015258789,IMERG_Final_V07
26.777833,93.30629,2025-06-01,0.9000000357627869,IMERG_Final_V07
27.64937,96.131576,2025-05-31,34.679996490478516,IMERG_Final_V07
26.356718,94.058905,2025-06-15,1.215000033378601,IMERG_Final_V07
25.360263,90.107888,2024-05-28,7.550000190734863,IMERG_Final_V07
28.005468,97.369308,2024-07-02,1.6049998998641968,IMERG_Final_V07
27.70331,92.980611,2024-07-05,4.900000095367432,IMERG_Final_V07
27.919041,95.478985,2025-06-01,16.41499900817871,IMERG_Final_V07
24.056604,93.572616,2024-08-25,14.05999755859375,IMERG_Final_V07
26.103633,91.73724,2024-05-28,27.38500213623047,IMERG_Final_V07
27.647748,95.581231,2024-07-05,31.705005645751953,IMERG_Final_V07
24.141649,92.509244,2014-06-27,0.5499999523162842,IMERG_Final_V07
28.646445,93.588527,2022-05-14,0.8400000333786011,IMERG_Final_V07
28.870159,95.022801,2024-06-30,32.53499984741211,IMERG_Final_V07
23.918167,91.965551,2023-08-06,30.340003967285156,IMERG_Final_V07
