sl_no,latitude,longitude,event_date,rainfall_mm_day,elevation_m,slope_degrees,historical_landslide,rainfall_source
23837,23.307524,92.857678,2025-06-01,127.99000549316406,960.0,29.118936488427924,1,IMERG_Final_V07
23838,23.305939,92.857538,2025-06-01,127.99000549316406,922.0,26.880307851328983,1,IMERG_Final_V07
23839,23.303906,92.853173,2025-06-01,127.99000549316406,1037.0,37.410672491183874,1,IMERG_Final_V07
23840,23.301381,92.853078,2025-05-31,45.29999542236328,980.0,25.15631913369421,1,IMERG_Final_V07
23841,23.299628,92.855609,2025-05-31,50.07499694824219,950.0,24.748625315195834,1,IMERG_Final_V07
23842,23.298137,92.857412,2025-05-29,47.72000503540039,929.0,22.98976777360885,1,IMERG_Final_V07
23843,23.293453,92.858089,2025-05-30,209.030029296875,892.0,23.397741000263863,1,IMERG_Final_V07
23845,23.298166,92.858694,2025-05-31,50.07499694824219,907.0,21.95499883223757,1,IMERG_Final_V07
23846,23.346456,92.851511,2025-06-01,127.99000549316406,906.0,28.30319610038818,1,IMERG_Final_V07
23847,23.3466,92.854847,2025-06-01,127.99000549316406,897.0,16.453666886955713,1,IMERG_Final_V07
23849,23.301587,92.868485,2025-05-31,45.29999542236328,864.0,24.46133251877165,1,IMERG_Final_V07
23850,23.313996,92.863984,2025-05-31,45.29999542236328,916.0,18.64821573021375,1,IMERG_Final_V07
23852,23.3228,92.862406,2025-05-31,45.29999542236328,946.0,19.451200005616776,1,IMERG_Final_V07
23860,23.243855,92.905242,2025-05-31,52.55500030517578,745.0,35.27189058250504,1,IMERG_Final_V07
23861,23.286735,92.85703,2025-05-31,50.07499694824219,882.0,34.35403406736099,1,IMERG_Final_V07
23862,23.284565,92.857096,2025-05-31,50.07499694824219,830.0,30.58895816397544,1,IMERG_Final_V07
23863,23.281443,92.840145,2025-06-01,124.50001525878906,662.0,42.03111377419729,1,IMERG_Final_V07
23864,23.280947,92.8367,2025-06-01,124.50001525878906,621.0,38.37211908620569,1,IMERG_Final_V07
23865,23.288276,92.830821,2025-05-31,50.07499694824219,550.0,25.526884054256257,1,IMERG_Final_V07
23866,23.293863,92.741368,2025-06-01,130.1000213623047,771.0,26.334247846853145,1,IMERG_Final_V07
23867,23.295774,92.740012,2025-06-01,130.1000213623047,745.0,24.691575152551952,1,IMERG_Final_V07
23868,23.30265,92.742945,2025-06-01,124.72500610351562,698.0,25.15631913369421,1,IMERG_Final_V07
23869,23.307135,92.707624,2025-05-31,49.80999755859375,458.0,34.35403406736099,1,IMERG_Final_V07
23870,23.306409,92.706083,2025-05-31,49.80999755859375,415.0,25.363232718381973,1,IMERG_Final_V07
23871,23.306012,92.704212,2025-05-31,49.80999755859375,433.0,27.90904811068605,1,IMERG_Final_V07
23872,23.300291,92.69577,2025-06-01,129.9099884033203,358.0,27.17735741799749,1,IMERG_Final_V07
23873,23.299806,92.694901,2025-06-01,136.86500549316406,347.0,24.2864614630402,1,IMERG_Final_V07
23874,23.299312,92.692614,2025-06-01,136.86500549316406,418.0,17.083143246452856,1,IMERG_Final_V07
23875,23.297521,92.689449,2025-06-01,136.86500549316406,311.0,28.037600489728423,1,IMERG_Final_V07
23876,23.30374,92.672816,2025-06-01,129.9099884033203,553.0,10.759583898850556,1,IMERG_Final_V07
23877,23.304123,92.671521,2025-06-01,129.9099884033203,574.0,31.39687644298045,1,IMERG_Final_V07
23878,23.306105,92.671296,2025-06-01,129.9099884033203,517.0,26.767512858834905,1,IMERG_Final_V07
23879,23.306338,92.666573,2025-06-01,129.9099884033203,686.0,28.222814437179903,1,IMERG_Final_V07
23880,23.32044,92.643229,2025-06-01,129.9099884033203,718.0,12.04828213833979,1,IMERG_Final_V07
23881,23.301901,92.649401,2025-06-01,129.9099884033203,725.0,22.40687120493745,1,IMERG_Final_V07
23882,23.246611,92.655112,2025-06-01,136.86500549316406,405.0,20.846265656650555,1,IMERG_Final_V07
23883,23.2388,92.636923,2025-06-01,136.86500549316406,793.0,23.397741000263863,1,IMERG_Final_V07
23884,23.234538,92.637234,2025-06-01,136.86500549316406,817.0,21.242603631151898,1,IMERG_Final_V07
23885,23.206413,92.632701,2025-06-01,136.86500549316406,549.0,18.94158858012096,1,IMERG_Final_V07
23886,23.197283,92.632661,2025-06-01,120.69500732421876,591.0,22.684823831912844,1,IMERG_Final_V07
23887,23.174558,92.612556,2025-06-01,120.69500732421876,771.0,3.931095784160226,1,IMERG_Final_V07
23888,23.1739,92.611378,2025-06-01,120.69500732421876,785.0,12.53638838286113,1,IMERG_Final_V07
23889,23.173258,92.611929,2025-06-01,120.69500732421876,793.0,16.796238729882134,1,IMERG_Final_V07
23890,23.17252,92.611434,2025-06-01,120.69500732421876,806.0,19.61060912917093,1,IMERG_Final_V07
23891,23.172659,92.611828,2025-06-01,120.69500732421876,800.0,17.66231893216494,1,IMERG_Final_V07
23892,23.198272,92.589291,2025-06-01,114.5899887084961,704.0,4.857533338413092,1,IMERG_Final_V07
23893,23.198961,92.590043,2025-06-01,114.5899887084961,687.0,21.18915910142139,1,IMERG_Final_V07
23894,23.199095,92.586671,2025-06-01,114.5899887084961,719.0,7.825525624597575,1,IMERG_Final_V07
23895,23.199415,92.585883,2025-06-01,114.5899887084961,709.0,16.91651608571675,1,IMERG_Final_V07
23896,23.200105,92.584517,2025-06-01,135.75999450683594,705.0,15.81919394750014,1,IMERG_Final_V07
23897,23.200655,92.5813,2025-06-01,135.75999450683594,737.0,23.75010057347409,1,IMERG_Final_V07
23898,23.201843,92.579666,2025-06-01,135.75999450683594,728.0,17.752790161946685,1,IMERG_Final_V07
23899,23.202247,92.57903,2025-06-01,135.75999450683594,736.0,24.15404655313558,1,IMERG_Final_V07
23900,23.203107,92.577972,2025-06-01,135.75999450683594,749.0,19.82702865340817,1,IMERG_Final_V07
23901,23.203903,92.576807,2025-06-01,135.75999450683594,756.0,21.938008256074177,1,IMERG_Final_V07
23902,23.204282,92.576174,2025-06-01,135.75999450683594,770.0,26.113233272206745,1,IMERG_Final_V07
23903,23.204481,92.575792,2025-06-01,135.75999450683594,768.0,28.485468456722128,1,IMERG_Final_V07
23904,23.205193,92.574684,2025-06-01,135.75999450683594,774.0,37.00513608621634,1,IMERG_Final_V07
23905,23.214589,92.572672,2025-06-01,135.75999450683594,818.0,18.370345512861498,1,IMERG_Final_V07
23906,23.212919,92.558022,2025-06-01,135.75999450683594,863.0,13.824682316158707,1,IMERG_Final_V07
23907,23.207082,92.509726,2025-06-01,135.75999450683594,735.0,9.64622531297678,1,IMERG_Final_V07
23908,23.195616,92.546251,2025-06-01,114.5899887084961,579.0,15.609525869125669,1,IMERG_Final_V07
23909,23.19796,92.543304,2025-06-01,114.5899887084961,580.0,33.02386755579665,1,IMERG_Final_V07
23910,23.190022,92.554302,2025-06-01,114.5899887084961,631.0,17.5484006137923,1,IMERG_Final_V07
23911,23.21035,92.539589,2025-06-01,135.75999450683594,689.0,28.08409936669116,1,IMERG_Final_V07
23912,23.208921,92.541174,2025-06-01,135.75999450683594,669.0,21.680889149080844,1,IMERG_Final_V07
23913,23.208823,92.53749,2025-06-01,135.75999450683594,726.0,11.386165083355712,1,IMERG_Final_V07
23914,23.206239,92.491221,2025-06-01,128.25,645.0,20.07880037349212,1,IMERG_Final_V07
23915,23.20549,92.543278,2025-06-01,135.75999450683594,651.0,23.021526638116164,1,IMERG_Final_V07
23916,23.219631,92.563324,2025-06-01,135.75999450683594,922.0,25.8493248967401,1,IMERG_Final_V07
23917,23.204981,92.534603,2025-06-01,135.75999450683594,776.0,6.379370208442804,1,IMERG_Final_V07
23918,23.206253,92.533605,2025-06-01,135.75999450683594,791.0,14.506372352544124,1,IMERG_Final_V07
23919,23.209857,92.500587,2025-06-01,135.75999450683594,611.0,22.22435314380804,1,IMERG_Final_V07
23921,23.199961,92.488796,2025-06-01,121.27499389648438,725.0,13.421509132977462,1,IMERG_Final_V07
23922,23.17824,92.491031,2025-06-01,121.27499389648438,762.0,17.775317038209,1,IMERG_Final_V07
23923,23.180969,92.488193,2025-06-01,121.27499389648438,773.0,14.959246786437893,1,IMERG_Final_V07
23924,23.180354,92.486971,2025-06-01,121.27499389648438,744.0,8.735690934280582,1,IMERG_Final_V07
